2013-02-19 16:33:41,639 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-02-19 16:33:41,644 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-02-19 16:33:41,646 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-02-19 16:33:41,652 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-02-19 16:34:32,954 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-02-19 16:34:32,958 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-02-19 16:34:32,959 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-02-19 16:34:32,963 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-02-19 16:54:30,621 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2013-02-19 16:54:30,666 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2013-02-19 16:54:30,670 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2013-02-19 16:54:45,568 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.cs400:waitermate:1.0.0-BUILD-SNAPSHOT @ C:\Users\Joe\Documents\spring13\Samples\WaiterMate\WaiterMate\pom.xml.
2013-02-19 16:54:57,003 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /waitermate/src/main/java
2013-02-19 16:54:57,003 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /waitermate/src/main/resources overlaps with sources folder /waitermate/src/main/resources
2013-02-19 16:54:57,006 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /waitermate/src/test/java
2013-02-19 16:54:57,006 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /waitermate/src/test/resources overlaps with sources folder /waitermate/src/test/resources
2013-02-19 16:54:57,117 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.cs400:waitermate:1.0.0-BUILD-SNAPSHOT @ C:\Users\Joe\Documents\spring13\Samples\WaiterMate\WaiterMate\pom.xml.
2013-02-19 16:54:57,344 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.cs400:waitermate:1.0.0-BUILD-SNAPSHOT @ C:\Users\Joe\Documents\spring13\Samples\WaiterMate\WaiterMate\pom.xml.
2013-02-19 16:54:57,823 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 23 sec
2013-02-19 16:54:58,428 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2013-02-19 16:54:58,429 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2013-02-19 16:55:00,548 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.cs400:waitermate:1.0.0-BUILD-SNAPSHOT @ C:\Users\Joe\Documents\spring13\Samples\WaiterMate\WaiterMate\pom.xml.
